	d1	d2
0	-0.7198025691510285	0.017166711354839985
1	-0.7130195563484354	0.002119195038178383
2	-0.7337113395061763	0.00923145496660473
3	-0.7471367263374469	-0.013769899741925839
4	-0.7378582334458342	-0.011413441897275512
5	-0.662476428128016	0.0011487786680373089
6	-0.607034641960115	0.04187952799654771
7	-0.6248415852690836	0.027822190718514838
8	-0.6236945196586401	0.004983311275621289
9	-0.60591993355763	0.022797886893912173
10	-0.5968332096728903	0.06762780183407073
11	-0.683321729296535	0.04520444862414356
12	-0.7016275681140696	0.025172602199911857
13	-0.6816043782458825	0.02974881275840785
14	-0.6757161349802412	0.008888710465569376
15	-0.6454326935823944	0.03876406023105736
16	-0.661631402032099	0.025462690588318234
17	-0.683186302696018	5.05338517146002e-05
18	-0.6341002558495376	0.013569305297317735
19	-0.6140046181195712	0.04592555355634821
20	-0.6117565972939623	0.03182170131933118
21	-0.6630700361982002	0.042068455675307086
22	-0.6360347353391418	0.039909218975925004
23	-0.6701331191461517	0.023453536332881348
24	-0.5639524487464447	-0.019443636793423962
25	-0.5618516100090885	0.02039599724253503
26	-0.6115702519490573	0.011264572372148998
27	-0.615013255821479	0.03196446688925178
28	-0.6601483700184253	0.036504122451663686
29	-0.649601834257949	0.011931831915415745
30	-0.5973691635283228	0.06031370777795792
31	-0.6396898999914985	0.05369572185069358
32	-0.6424283162667361	0.04626426268082648
33	-0.668885771470726	0.028186269352803123
34	-0.6867348631292899	0.03150119363448178
35	-0.6403356498532357	0.01888311316744914
36	-0.6335503487382725	0.0057225690313185
37	-0.660332704269902	0.005470245664560416
38	-0.6583564099792548	0.03548265469003558
39	-0.6554305637446363	0.031212857199011325
40	-0.6894839622435953	0.026683460681161782
41	-0.6861103804885405	0.01916491397391432
42	-0.666183419000649	0.011782927760832713
43	-0.6960385568083228	0.0431432247509984
44	-0.6892985069172758	0.005602100641521468
45	-0.66378433781774	0.006076044388066114
46	-0.6417453436951392	0.03239479900760503
47	-0.6346607898425314	0.036337570803592366
48	-0.6652368360706599	0.05670421249432957
49	-0.7122710606982173	0.03689552518659195
50	-0.7256999829865777	0.03311920722843128
51	-0.7199158403942093	-0.0061888845006834335
52	-0.6977538755988778	0.024154056267232125
53	-0.6881074074619624	0.03381713531297795
54	-0.7015394368244809	0.0176400183392146
55	-0.6947796243313922	0.030907546086102685
56	-0.6501503971514978	0.009583706689952747
57	-0.696097522022099	0.03239664081264946
58	-0.70092627860494	0.04328839326984969
59	-0.7142953332859596	0.0333819018779626
60	-0.7342187788577289	0.021391218861195917
61	-0.7471268989212964	-0.0014435073720107893
62	-0.7493751358838375	0.010705519046555341
63	-0.7571041566201779	-0.001475695618478365
64	-0.7610495430163253	-0.004285535332360198
65	-0.7543468696294439	-0.012593556047738923
66	-0.7539076774387342	0.0027759509766788525
67	-0.7009898511872394	0.0004264646893494858
68	-0.6989555963219363	0.023868576553890866
69	-0.6990499756007134	0.02172196830838594
70	-0.7093102556587702	0.04887951533132474
71	-0.7331420112068353	0.015682799551806736
72	-0.7121610565764152	0.02520494238775247
73	-0.7323896294971292	0.021332735371738413
74	-0.7510141109903821	0.0037760500389104833
75	-0.7152053128504	-0.016959153703170495
76	-0.7035252840547126	0.011242892609753264
77	-0.720885739713203	0.03275806688067533
78	-0.7393825147358954	0.015590877322645035
79	-0.7268703691147181	0.023884119595575994
80	-0.7254818579567688	-0.01499996731082129
